Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A red Hatchback is driving from the opposite direction (near) and switching lane.,1.748421,25.029401,5.0600000000000005,False,None,0
0,0_scenario_1,A pink Sedan is driving from the opposite direction (near) and maintaining lane.,100000,17.984796,1.58,False,None,0
0,0_scenario_2,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,22.605679,19.618731,8.44,False,None,0
0,0_scenario_3,A skyblue SUV is crossing the road (far) and maintaining lane.,100000,25.582811,11.379999999999999,False,None,0
0,0_scenario_4,A skyblue BoxTruck is driving ahead (near) of the ego vehicle and switching lane.,100000,12.695104,8.36,False,None,0
0,0_scenario_5,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,0.807998,4.348801,10.92,False,None,0
0,0_scenario_6,A skyblue Jeep is driving from the opposite direction (far) and maintaining lane.,2.91616,9.974507,9.04,False,None,0
0,0_scenario_7,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,2.460833,13.417074,2.02,False,None,0
0,0_scenario_8,A red SUV is driving ahead (near) of the ego vehicle and switching lane.,2.144717,16.657997,6.6,False,None,0
0,0_scenario_9,A white BoxTruck is overtaking (near) the ego vehicle and switching lane.,0.031516,1.240624,7.339999999999999,False,None,0
0,0_scenario_10,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,0.221994,2.023446,6.319999999999999,False,None,0
0,0_scenario_11,A pink Hatchback is driving from the opposite direction (far) and switching lane.,1.082924,9.96638,5.58,False,None,0
0,0_scenario_12,A red SUV is crossing the road (near) and maintaining lane.,3.176553,9.799505,2.92,False,None,0
0,0_scenario_13,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,2.258678,10.172084,4.12,False,None,0
0,0_scenario_14,A skyblue Jeep is driving from the opposite direction (far) and maintaining lane.,100000,8.69061,6.9,False,None,0
0,0_scenario_15_npc_vehicle,A pedestrian is crossing the road from left to right.,0.435391,7.786278,5.98,True,npc_vehicle,0.0011398086216085875
1,1_scenario_0,A pedestrian is crossing the road from left to right.,100000,19.437586,6.38,False,None,0
1,1_scenario_1,A white SchoolBus is driving ahead (far) of the ego vehicle and maintaining lane.,100000,13.262267,4.06,False,None,0
1,1_scenario_2,A black Jeep is overtaking (far) the ego vehicle and maintaining lane.,100000,4.796163,4.0600000000000005,False,None,0
1,1_scenario_3,A red BoxTruck is driving from the opposite direction (far) and maintaining lane.,2.319876,7.645986,4.08,False,None,0
1,1_scenario_4,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,0.746711,6.48547,14.0,False,None,0
1,1_scenario_5,A white SUV is driving ahead (far) of the ego vehicle and switching lane.,100000,5.484517,5.58,False,None,0
1,1_scenario_6,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,3.109332,6.014876,7.4,False,None,0
1,1_scenario_7,A red SUV is driving ahead (near) of the ego vehicle and switching lane.,100000,9.636614,11.059999999999999,False,None,0
1,1_scenario_8,A white SUV is driving ahead (far) of the ego vehicle and switching lane.,100000,24.687937,6.66,False,None,0
1,1_scenario_9,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,3.277952,10.804108,1.8,False,None,0
1,1_scenario_10,A yellow Sedan is driving from the opposite direction (near) and switching lane.,3.237012,16.939239,8.7,False,None,0
1,1_scenario_11,A red Jeep is overtaking (near) the ego vehicle and switching lane.,0.988068,10.672839,8.18,False,None,0
1,1_scenario_12,A red Hatchback is crossing the road (near) and switching lane.,100000,16.973324,5.88,False,None,0
1,1_scenario_13,A red SUV is overtaking (near) the ego vehicle and maintaining lane.,39.880986,8.969084,7.56,False,None,0
1,1_scenario_14,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,100000,11.430368,4.34,False,None,0
1,1_scenario_15,A skyblue BoxTruck is driving ahead (near) of the ego vehicle and switching lane.,100000,8.036319,3.02,False,None,0
1,1_scenario_16,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,1.865967,8.251804,9.620000000000001,False,None,0
1,1_scenario_17,A pedestrian is crossing the road from left to right.,100000,9.567905,0.0,False,None,0
2,2_scenario_0,A yellow SUV is overtaking (near) the ego vehicle and switching lane.,100000,9.103856,4.460000000000001,False,None,0
2,2_scenario_1,A black Jeep is overtaking (far) the ego vehicle and maintaining lane.,100000,13.708239,2.88,False,None,0
2,2_scenario_2,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,100000,10.578337,5.56,False,None,0
2,2_scenario_3,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,1.760659,4.066033,7.18,False,None,0
2,2_scenario_4,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,2.608064,5.355163,6.02,False,None,0
2,2_scenario_5,A red SUV is overtaking (near) the ego vehicle and maintaining lane.,100000,13.330133,6.5,False,None,0
2,2_scenario_6,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,1.383168,9.602442,5.16,False,None,0
2,2_scenario_7,A white Hatchback is overtaking (far) the ego vehicle and maintaining lane.,100000,6.549378,6.64,False,None,0
2,2_scenario_8,A red SUV is driving ahead (near) of the ego vehicle and switching lane.,1.861529,12.672322,4.720000000000001,False,None,0
2,2_scenario_9,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,2.077324,6.588902,6.1000000000000005,False,None,0
2,2_scenario_10,A pedestrian is crossing the road from left to right.,9.77374,15.210304,6.66,False,None,0
2,2_scenario_11,A pedestrian is crossing the road from left to right.,9.934366,3.141391,7.58,False,None,0
2,2_scenario_12,A pedestrian is crossing the road from left to right.,100000,2.714831,3.48,False,None,0
2,2_scenario_13,A skyblue Hatchback is driving ahead (far) of the ego vehicle and maintaining lane.,100000,2.533197,6.619999999999999,False,None,0
2,2_scenario_14,A pink Sedan is driving from the opposite direction (near) and maintaining lane.,100000,5.632231,4.78,False,None,0
2,2_scenario_15,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,100000,8.330456,7.4,False,None,0
2,2_scenario_16,A white SUV is driving ahead (far) of the ego vehicle and switching lane.,100000,9.054011,6.98,False,None,0
3,3_scenario_0,A pink SchoolBus is crossing the road (near) and switching lane.,100000,12.157179,7.58,False,None,0
3,3_scenario_1,A red Hatchback is crossing the road (near) and switching lane.,0.614065,3.432596,2.08,False,None,0
3,3_scenario_2,A yellow BoxTruck is overtaking (far) the ego vehicle and maintaining lane.,0.642423,10.213415,2.94,False,None,0
3,3_scenario_3,A skyblue SchoolBus is driving ahead (far) of the ego vehicle and switching lane.,100000,16.977581,1.0,False,None,0
3,3_scenario_4_npc_vehicle,A red SUV is crossing the road (near) and maintaining lane.,0.539889,3.646758,13.299999999999999,True,npc_vehicle,5.942155792188565
4,4_scenario_0,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,100000,8.063313,7.36,False,None,0
4,4_scenario_1_npc_vehicle,A black Jeep is overtaking (far) the ego vehicle and maintaining lane.,1.564315,4.823628,9.3,True,npc_vehicle,8.315309746919633
5,5_scenario_0,A pedestrian is crossing the road from right to left.,100000,15.748402,2.5999999999999996,False,None,0
5,5_scenario_1,A black Sedan is driving ahead (far) of the ego vehicle and maintaining lane.,13.914254,8.119991,3.0,False,None,0
5,5_scenario_2_npc_vehicle,A skyblue BoxTruck is driving ahead (near) of the ego vehicle and switching lane.,1.464947,7.265426,8.719999999999999,True,npc_vehicle,3.8341264053282518
6,6_scenario_0,A black SUV is crossing the road (near) and switching lane.,100000,10.021405,8.98,False,None,0
6,6_scenario_1,A red BoxTruck is driving from the opposite direction (near) and maintaining lane.,0.797913,12.435197,5.62,False,None,0
6,6_scenario_2,A yellow Sedan is overtaking (far) the ego vehicle and maintaining lane.,2.400563,37.465359,8.24,False,None,0
6,6_scenario_3,A red SchoolBus is overtaking (far) the ego vehicle and switching lane.,4.165089,56.641402,14.36,False,None,0
6,6_scenario_4_obstacle,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,1.129078,27.308345,4.24,True,obstacle,10.518171246371095
7,7_scenario_0,A red Hatchback is crossing the road (far) and switching lane.,1.096691,14.077703,4.9,False,None,0
7,7_scenario_1,A white BoxTruck is overtaking (near) the ego vehicle and switching lane.,0.72753,12.860845,9.24,False,None,0
7,7_scenario_2,A red SchoolBus is overtaking (near) the ego vehicle and switching lane.,2.693894,20.011886,12.12,False,None,0
7,7_scenario_3,A red BoxTruck is driving ahead (far) of the ego vehicle and maintaining lane.,2.647615,30.429838,7.319999999999999,False,None,0
7,7_scenario_4,A black Jeep is driving ahead (near) of the ego vehicle and switching lane.,0.814363,3.578679,6.18,False,None,0
7,7_scenario_5,A pink Jeep is crossing the road (near) and switching lane.,0.343056,10.30965,6.74,False,None,0
7,7_scenario_6,A white Sedan is driving ahead (far) of the ego vehicle and switching lane.,0.12017,2.682178,11.18,False,None,0
7,7_scenario_7,A yellow SUV is overtaking (near) the ego vehicle and switching lane.,7.071301,4.520798,5.08,False,None,0
7,7_scenario_8,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,22.753928,11.770312,5.76,False,None,0
7,7_scenario_9,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,100000,9.277381,2.1,False,None,0
